,0,1,2,3
150,"[('vel x', '(-0.809, -0.676]'), ('angleVel', '(-0.237, -0.171]'), ('pos x', '(-0.118, -0.06]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
151,"[('vel x', '(-0.809, -0.676]'), ('angleVel', '(-0.237, -0.171]'), ('pos x', '(-0.235, -0.176]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
152,"[('vel x', '(-0.809, -0.676]'), ('angleVel', '(-0.237, -0.171]'), ('pos y', '(1.202, 1.353]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
153,"[('vel x', '(-0.809, -0.676]'), ('angleVel', '(-0.237, -0.171]'), ('vel y', '(-0.457, -0.343]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
154,"[('vel x', '(-0.809, -0.676]'), ('angleVel', '(-0.104, -0.0378]'), ('pos y', '(1.202, 1.353]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
155,"[('angle', '(-0.516, -0.431]'), ('pos x', '(-0.527, -0.468]'), ('angleVel', '(0.0286, 0.095]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
156,"[('angle', '(-0.516, -0.431]'), ('pos x', '(-0.527, -0.468]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
157,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.0286, 0.095]'), ('pos x', '(-0.409, -0.351]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
158,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.0286, 0.095]'), ('pos y', '(1.051, 1.202]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
159,"[('angle', '(-0.516, -0.431]'), ('vel x', '(-0.281, -0.15]'), ('pos x', '(-0.351, -0.293]')]",No action,"No action    0.002137
         ","No action    1.0
         "
160,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.0286, 0.095]'), ('vel x', '(-0.0182, 0.113]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
161,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.0286, 0.095]'), ('vel y', '(-0.115, -0.000902]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
162,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.0286, 0.095]'), ('pos x', '(-0.351, -0.293]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
163,"[('vel x', '(-0.809, -0.676]'), ('angle', '(-0.176, -0.0912]'), ('pos y', '(1.353, 1.504]')]",Fire right engine,"Fire right engine    0.008242
Fire down engine     0.002747
         ","Fire right engine    0.75
Fire down engine     0.25
         "
164,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.176, -0.0912]'), ('pos x', '(-0.176, -0.118]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
165,"[('vel x', '(-0.809, -0.676]'), ('angleVel', '(-0.237, -0.171]')]",Fire left engine,"Fire left engine     0.007968
Fire right engine    0.003984
         ","Fire left engine     0.666667
Fire right engine    0.333333
         "
166,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.176, -0.0912]')]",Fire down engine,"Fire down engine    0.002541
Fire left engine    0.001271
         ","Fire down engine    0.666667
Fire left engine    0.333333
         "
167,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.235, -0.176]'), ('vel x', '(-0.676, -0.544]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
168,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.235, -0.176]'), ('vel y', '(-0.229, -0.115]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
169,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.235, -0.176]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
170,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.457, -0.343]'), ('vel x', '(-0.809, -0.676]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
171,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.00624, 0.0788]'), ('angleVel', '(-0.237, -0.171]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
172,"[('pos y', '(1.353, 1.504]'), ('angleVel', '(-0.237, -0.171]'), ('pos x', '(-0.118, -0.06]')]",Fire left engine,"Fire left engine    0.011952
         ","Fire left engine    1.0
         "
173,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.00624, 0.0788]'), ('vel y', '(-0.229, -0.115]')]",No action,"No action    0.002137
         ","No action    1.0
         "
174,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.00624, 0.0788]'), ('vel x', '(-0.676, -0.544]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
175,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.115, -0.000902]'), ('vel x', '(-0.676, -0.544]'), ('angleVel', '(-0.171, -0.104]')]",No action,"No action    0.002137
         ","No action    1.0
         "
176,"[('vel x', '(-0.676, -0.544]'), ('pos x', '(-0.293, -0.235]')]",Fire down engine,"Fire down engine    0.02033
         ","Fire down engine    1.0
         "
177,"[('vel x', '(-0.809, -0.676]'), ('vel y', '(-0.115, -0.000902]'), ('angleVel', '(-0.171, -0.104]'), ('pos x', '(-0.118, -0.06]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
178,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.00624, 0.0788]'), ('angleVel', '(-0.171, -0.104]')]",No action,"No action    0.001068
         ","No action    1.0
         "
179,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.00624, 0.0788]'), ('pos x', '(-0.176, -0.118]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
180,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.115, -0.000902]'), ('angleVel', '(-0.171, -0.104]')]",Fire right engine,"Fire right engine    0.005495
No action            0.002747
         ","Fire right engine    0.666667
No action            0.333333
         "
181,"[('pos y', '(1.353, 1.504]'), ('angle', '(-0.00624, 0.0788]')]",No action,"No action            0.003205
Fire right engine    0.002137
         ","No action            0.6
Fire right engine    0.4
         "
182,"[('vel x', '(-0.809, -0.676]'), ('angle', '(-0.00624, 0.0788]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
183,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.118, -0.06]'), ('vel x', '(-0.676, -0.544]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
184,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.118, -0.06]'), ('vel y', '(-0.229, -0.115]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
185,"[('vel x', '(-0.809, -0.676]'), ('pos x', '(-0.118, -0.06]'), ('pos y', '(1.202, 1.353]')]",Fire left engine,"Fire left engine    0.011952
         ","Fire left engine    1.0
         "
186,"[('pos y', '(1.353, 1.504]'), ('pos x', '(-0.118, -0.06]')]",Fire left engine,"Fire left engine     0.003984
Fire right engine    0.003984
         ","Fire left engine     0.5
Fire right engine    0.5
         "
187,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.115, -0.000902]')]",No action,"No action            0.002137
Fire right engine    0.002137
         ","No action            0.5
Fire right engine    0.5
         "
188,"[('vel x', '(-0.676, -0.544]'), ('pos x', '(-0.235, -0.176]')]",Fire down engine,"Fire down engine    0.013977
         ","Fire down engine    1.0
         "
189,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.343, -0.229]')]",Fire left engine,"Fire left engine     0.007968
Fire right engine    0.007968
         ","Fire left engine     0.5
Fire right engine    0.5
         "
190,"[('pos y', '(1.353, 1.504]'), ('vel y', '(-0.457, -0.343]')]",Fire left engine,"Fire left engine     0.007968
Fire right engine    0.007968
         ","Fire left engine     0.5
Fire right engine    0.5
         "
191,"[('pos y', '(1.353, 1.504]'), ('angleVel', '(-0.237, -0.171]')]",No action,"No action           0.001068
Fire left engine    0.001068
         ","No action           0.5
Fire left engine    0.5
         "
192,"[('vel x', '(-0.676, -0.544]'), ('pos y', '(1.353, 1.504]')]",Fire right engine,"Fire right engine    0.008242
         ","Fire right engine    1.0
         "
193,"[('vel x', '(-0.676, -0.544]'), ('pos y', '(1.051, 1.202]')]",Fire down engine,"Fire down engine    0.003812
         ","Fire down engine    1.0
         "
194,"[('vel x', '(-0.676, -0.544]'), ('angle', '(-0.346, -0.261]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
195,"[('vel x', '(-0.676, -0.544]'), ('vel y', '(-0.343, -0.229]'), ('pos x', '(-0.409, -0.351]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
196,"[('vel x', '(-0.676, -0.544]'), ('vel y', '(-0.343, -0.229]'), ('angle', '(-0.261, -0.176]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
197,"[('vel x', '(-0.676, -0.544]'), ('vel y', '(-0.343, -0.229]'), ('angleVel', '(-0.171, -0.104]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
198,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.228, 0.294]')]",Fire right engine,"Fire right engine    0.002747
Fire left engine     0.002747
         ","Fire right engine    0.5
Fire left engine     0.5
         "
199,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.343, -0.229]')]",Fire down engine,"Fire down engine    0.001271
Fire left engine    0.000635
         ","Fire down engine    0.666667
Fire left engine    0.333333
         "
200,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.0286, 0.095]')]",Fire down engine,"Fire down engine    0.000635
Fire left engine    0.000635
         ","Fire down engine    0.5
Fire left engine    0.5
         "
201,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(-0.104, -0.0378]')]",Fire down engine,"Fire down engine    0.000635
Fire left engine    0.000635
         ","Fire down engine    0.5
Fire left engine    0.5
         "
202,"[('vel x', '(-0.809, -0.676]'), ('pos x', '(-0.235, -0.176]')]",Fire down engine,"Fire down engine     0.000635
Fire right engine    0.000635
         ","Fire down engine     0.5
Fire right engine    0.5
         "
203,"[('angleVel', '(0.228, 0.294]'), ('pos y', '(0.899, 1.051]'), ('pos x', '(-0.293, -0.235]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
204,"[('angleVel', '(0.228, 0.294]'), ('pos y', '(0.899, 1.051]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
205,"[('vel x', '(-0.809, -0.676]'), ('pos y', '(1.202, 1.353]')]",Fire down engine,"Fire down engine     0.000635
Fire right engine    0.000635
         ","Fire down engine     0.5
Fire right engine    0.5
         "
206,"[('angleVel', '(0.228, 0.294]'), ('pos y', '(1.202, 1.353]')]",Fire left engine,"Fire left engine     0.003984
Fire right engine    0.003984
         ","Fire left engine     0.5
Fire right engine    0.5
         "
207,"[('angle', '(-0.602, -0.516]'), ('vel x', '(-0.0182, 0.113]'), ('pos x', '(-0.351, -0.293]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
208,"[('angle', '(-0.602, -0.516]'), ('vel x', '(-0.0182, 0.113]')]",No action,"No action    0.001068
         ","No action    1.0
         "
209,"[('angleVel', '(0.228, 0.294]'), ('vel x', '(0.113, 0.245]'), ('pos x', '(-0.468, -0.409]')]",Fire right engine,"Fire right engine    0.008242
         ","Fire right engine    1.0
         "
210,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.468, -0.409]'), ('vel y', '(-0.229, -0.115]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
211,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.468, -0.409]'), ('angle', '(-0.261, -0.176]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
212,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.468, -0.409]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
213,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('angleVel', '(-0.237, -0.171]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
214,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('pos x', '(-0.293, -0.235]'), ('vel x', '(-0.0182, 0.113]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
215,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('pos x', '(-0.351, -0.293]'), ('vel x', '(-0.0182, 0.113]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
216,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('pos x', '(-0.293, -0.235]'), ('angleVel', '(-0.171, -0.104]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
217,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('pos x', '(-0.293, -0.235]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
218,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('pos x', '(-0.409, -0.351]'), ('vel x', '(-0.15, -0.0182]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
219,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('pos x', '(-0.409, -0.351]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
220,"[('angleVel', '(0.228, 0.294]'), ('vel x', '(0.113, 0.245]'), ('pos x', '(-0.409, -0.351]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
221,"[('angleVel', '(0.228, 0.294]'), ('angle', '(-0.176, -0.0912]'), ('vel x', '(-0.0182, 0.113]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
222,"[('angle', '(-0.602, -0.516]'), ('pos x', '(-0.409, -0.351]')]",Fire down engine,"Fire down engine    0.000635
Fire left engine    0.000635
         ","Fire down engine    0.5
Fire left engine    0.5
         "
223,"[('angle', '(-0.516, -0.431]'), ('pos x', '(-0.293, -0.235]'), ('angleVel', '(0.095, 0.161]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
224,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.351, -0.293]'), ('angle', '(-0.261, -0.176]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
225,"[('angleVel', '(0.228, 0.294]'), ('angle', '(-0.261, -0.176]')]",Fire down engine,"Fire down engine    0.001906
No action           0.000635
         ","Fire down engine    0.75
No action           0.25
         "
226,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.161, 0.228]'), ('pos x', '(-0.468, -0.409]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
227,"[('angle', '(-0.516, -0.431]'), ('pos x', '(-0.293, -0.235]'), ('vel y', '(-0.229, -0.115]')]",Fire down engine,"Fire down engine    0.001271
Fire left engine    0.000635
         ","Fire down engine    0.666667
Fire left engine    0.333333
         "
228,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.161, 0.228]'), ('pos x', '(-0.351, -0.293]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
229,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('angleVel', '(-0.171, -0.104]'), ('pos y', '(1.051, 1.202]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
230,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.115, -0.000902]'), ('pos y', '(1.202, 1.353]'), ('pos x', '(-0.468, -0.409]'), ('angleVel', '(-0.171, -0.104]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
231,"[('angleVel', '(0.228, 0.294]'), ('vel x', '(0.245, 0.376]')]",No action,"No action           0.001068
Fire down engine    0.001068
         ","No action           0.5
Fire down engine    0.5
         "
232,"[('pos y', '(1.353, 1.504]')]",Fire right engine,"Fire right engine    0.010989
No action            0.010989
Fire left engine     0.002747
         ","Fire right engine    0.444444
No action            0.444444
Fire left engine     0.111111
         "
233,"[('angleVel', '(0.294, 0.361]'), ('pos y', '(0.748, 0.899]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
234,"[('angleVel', '(0.294, 0.361]'), ('vel x', '(0.113, 0.245]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
235,"[('angleVel', '(0.294, 0.361]'), ('vel y', '(-0.343, -0.229]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
236,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.351, -0.293]'), ('vel y', '(-0.571, -0.457]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
237,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.351, -0.293]'), ('vel x', '(0.113, 0.245]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
238,"[('angle', '(-0.516, -0.431]'), ('vel x', '(-0.15, -0.0182]'), ('pos x', '(-0.409, -0.351]')]",Fire left engine,"Fire left engine    0.011952
         ","Fire left engine    1.0
         "
239,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.293, -0.235]'), ('vel y', '(-0.229, -0.115]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
240,"[('angle', '(-0.602, -0.516]')]",No action,"No action           0.002137
Fire down engine    0.001068
Fire left engine    0.001068
         ","No action           0.50
Fire down engine    0.25
Fire left engine    0.25
         "
241,"[('angleVel', '(0.228, 0.294]'), ('vel y', '(-0.457, -0.343]'), ('angle', '(-0.346, -0.261]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
242,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.409, -0.351]'), ('angle', '(-0.431, -0.346]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
243,"[('angleVel', '(0.228, 0.294]'), ('vel y', '(-0.343, -0.229]'), ('angle', '(-0.346, -0.261]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
244,"[('angleVel', '(0.228, 0.294]'), ('vel y', '(-0.343, -0.229]')]",Fire down engine,"Fire down engine    0.001271
Fire left engine    0.000635
         ","Fire down engine    0.666667
Fire left engine    0.333333
         "
245,"[('angleVel', '(0.228, 0.294]'), ('vel y', '(-0.457, -0.343]'), ('pos x', '(-0.293, -0.235]')]",Fire right engine,"Fire right engine    0.005495
Fire left engine     0.002747
         ","Fire right engine    0.666667
Fire left engine     0.333333
         "
246,"[('angleVel', '(0.228, 0.294]'), ('pos x', '(-0.351, -0.293]')]",Fire right engine,"Fire right engine    0.005495
Fire left engine     0.002747
Fire down engine     0.002747
         ","Fire right engine    0.50
Fire left engine     0.25
Fire down engine     0.25
         "
247,,Fire down engine,"Fire down engine     1.000000
No action            0.594663
Fire right engine    0.231258
Fire left engine     0.159466
         ","Fire down engine     0.50368
No action            0.29952
Fire right engine    0.11648
Fire left engine     0.08032
         "
